a. Scenario number (1 2 and 3),"b. Average of column ""i"" for the iterations of same scenario","c. Average of column ""k"" for the iterations of same scenario"
1,0.06710144,0
a. Scenario number (1 2 and 3),"b. Average of column ""i"" for the iterations of same scenario","c. Average of column ""k"" for the iterations of same scenario"
2,0.041883956,0
a. Scenario number (1 2 and 3),b. Average of column "i" for the iterations of same scenario,c. Average of column "k" for the iterations of same scenario
2,0.048265909867118616,0.0
a. Scenario number (1 2 and 3),b. Average of column "i" for the iterations of same scenario,c. Average of column "k" for the iterations of same scenario
1,0.0,0.0
a. Scenario number (1 2 and 3),b. Average of column "i" for the iterations of same scenario,c. Average of column "k" for the iterations of same scenario
1,0.07485123364648953,0.0
a. Scenario number (1 2 and 3),b. Average of column "i" for the iterations of same scenario,c. Average of column "k" for the iterations of same scenario
2,0.044317434232928436,0.0
a. Scenario number (1 2 and 3),b. Average of column "i" for the iterations of same scenario,c. Average of column "k" for the iterations of same scenario
3,0.06046451839577498,0.0
a. Scenario number (1 2 and 3),b. Average of column "i" for the iterations of same scenario,c. Average of column "k" for the iterations of same scenario
3,0.08221156296398927,0.0
a. Scenario number (1 2 and 3),b. Average of column "i" for the iterations of same scenario,c. Average of column "k" for the iterations of same scenario
2,5.851512011477623E-4,0.0
